"年月","國別","基隆市[金額，新台幣]","基隆市[筆數]","新竹市[金額，新台幣]","新竹市[筆數]","新竹縣[金額，新台幣]","新竹縣[筆數]","苗栗縣[金額，新台幣]","苗栗縣[筆數]","彰化縣[金額，新台幣]","彰化縣[筆數]","南投縣[金額，新台幣]","南投縣[筆數]","雲林縣[金額，新台幣]","雲林縣[筆數]","嘉義市[金額，新台幣]","嘉義市[筆數]","嘉義縣[金額，新台幣]","嘉義縣[筆數]","屏東縣[金額，新台幣]","屏東縣[筆數]","宜蘭縣[金額，新台幣]","宜蘭縣[筆數]","花蓮縣[金額，新台幣]","花蓮縣[筆數]","台東縣[金額，新台幣]","台東縣[筆數]","澎湖縣[金額，新台幣]","澎湖縣[筆數]","金門縣[金額，新台幣]","金門縣[筆數]","連江縣[金額，新台幣]","連江縣[筆數]"
"103年08月","加拿大","1753598","406","8744125","1460","5036528","1115","1292441","420","3586353","643","737697","252","1056582","264","6290879","262","852386","210","1885876","356","1022296","210","802623","238","513045","71","10309","5","105365","40","933","3"
"103年09月","英國","20571576","20889","52727931","31998","49558425","33374","23823480","24242","51408207","40510","15707914","15107","16441611","18044","12445262","10906","11190367","13320","22744671","21870","17411877","17157","12604392","12641","4799915","6721","2249148","3256","1488636","1590","216047","318"
"103年09月","日本","16777593","4249","40377696","9667","36410601","7446","12475528","3130","29232080","6208","8164869","1961","8015751","1867","9580636","2080","5574044","1309","13872274","3103","12273430","2509","5813356","1536","3779798","753","889136","303","656179","172","110456","6"
"103年09月","美國","11484562","2711","36192886","7727","32597429","6200","9827027","2399","27730907","4864","7277326","1433","6355911","1330","5773386","1391","6452667","1238","10317865","2427","8392826","1914","4195918","1248","2502477","580","747239","176","752006","138","46685","14"
"103年09月","中國","12352773","4416","28956374","8110","27389197","7811","11277631","3385","21199464","7036","11016590","2163","9187244","2790","6530633","2503","5639422","2284","8616067","3745","7825524","3366","3912630","2022","2374422","893","805075","409","933931","461","58785","47"
"103年09月","新加坡","5211619","1288","16167258","3093","15349356","2514","4727124","1226","13376030","2360","1409372","691","2825818","750","3697707","800","2999542","676","4244242","1337","3607326","784","2617677","699","982420","231","385144","105","549415","137","68342","23"
"103年09月","香港","6766876","1262","14747015","2720","14126857","2223","3944242","893","9260945","2071","2475505","555","2645938","571","3318348","546","2453721","402","5558400","1137","3433599","600","3942742","495","760500","210","492542","104","286923","76","19805","15"
"103年09月","盧森堡","5486491","10673","12070678","20907","13298419","18735","5974996","11435","8414728","18571","3438644","6710","4309709","7092","2794644","5770","2675098","5058","4493660","9414","3702285","7843","2672596","5341","1573416","2472","448500","1013","559079","839","117553","179"
"103年09月","南韓","3687076","792","7941157","1878","8693197","2004","3681193","875","7301265","1431","2123597","382","2726029","602","2333246","463","1858102","317","3900310","727","4705842","705","1973019","449","902113","180","507600","123","125026","21","2491","2"
"103年09月","義大利","7390152","181","8048879","455","6123986","507","5110075","162","5322848","408","357065","47","2210370","102","708600","62","1777384","72","2163299","116","1322666","97","2841851","92","665833","53","355341","22","158334","13","0","0"
"103年09月","法國","3177214","261","8968859","810","7579524","658","3511924","235","6179831","443","1471709","136","1492975","129","2818489","131","1474479","122","2931226","255","1122064","115","1334973","62","720458","36","60874","7","369072","19","0","0"
"103年10月","英國","22881131","22173","57114151","34391","47462522","34896","22352172","25668","47102566","43355","17362431","15047","19368455","19040","13502943","11643","11216767","13641","25163844","23841","16966694","17114","12022591","12971","6067423","6479","2812752","3771","2512281","1825","281217","431"
