日期,收市,開市,高,低,成交量,更改%
2013年12月9日,919,804,980,787.7,27.63K,14.30%
2013年12月10日,"1,033.70",919,"1,067.70",912,22.10K,12.49%
2013年12月11日,919.9,"1,033.70","1,056.80",856.1,24.36K,-11.01%
2013年12月12日,900,919.9,941,839.5,9.91K,-2.17%
2013年12月13日,936.8,900,989.9,882.1,17.37K,4.09%
2013年12月14日,908.9,936.8,947.9,875.1,11.59K,-2.97%
2013年12月15日,919.9,908.9,927.9,838,15.17K,1.20%
2013年12月16日,759.9,919.9,924.9,714,41.33K,-17.39%
2013年12月17日,715,759.9,780,678.9,31.71K,-5.92%
2013年12月18日,541,715,717,454.9,110.50K,-24.34%
2013年12月19日,732,541,746,522.4,45.76K,35.30%
2013年12月20日,650,732,774.4,621.3,34.77K,-11.20%
2013年12月21日,640.5,650,690,610,14.73K,-1.46%
2013年12月22日,639.5,640.5,699.9,615,11.63K,-0.15%
2013年12月23日,713.2,639.5,724.9,631,15.07K,11.53%
2013年12月24日,702.8,713.2,729.9,666,10.95K,-1.47%
2013年12月25日,707.3,702.8,710,673.9,5.34K,0.64%
2013年12月26日,802,707.3,829.6,707.2,23.53K,13.39%
2013年12月27日,803,802,836.8,767.9,13.89K,0.13%
2013年12月28日,762,803,806,715.6,13.34K,-5.11%
2013年12月29日,785,762,804,735,7.04K,3.01%
2013年12月30日,804.8,785,818.8,781,10.48K,2.53%
2013年12月31日,805.9,804.8,813.9,777,9.17K,0.14%
2014年1月1日,815.9,805.9,829.9,771,10.76K,1.24%
2014年1月2日,856.9,815.9,886.2,810.5,12.81K,5.02%
2014年1月3日,884.3,856.9,888.2,839.4,9.71K,3.19%
2014年1月4日,924.7,884.3,932.2,848.3,14.24K,4.57%
2014年1月5日,"1,014.70",924.7,"1,029.90",911.4,21.37K,9.74%
2014年1月6日,"1,012.70","1,014.70","1,093.40",964.7,23.08K,-0.21%
2014年1月7日,879.9,"1,012.70","1,044.00",879.8,22.67K,-13.11%
2014年1月8日,938.8,879.9,966.9,858.9,14.10K,6.70%
2014年1月9日,937,938.8,964.6,866.5,14.42K,-0.20%
2014年1月10日,957.8,937,964.8,905.9,6.35K,2.22%
2014年1月11日,"1,005.30",957.8,"1,010.80",935,11.18K,4.97%
2014年1月12日,939.8,"1,005.30","1,022.70",922.1,9.93K,-6.52%
2014年1月13日,922.9,939.8,949.2,879.9,10.13K,-1.80%
2014年1月14日,919.3,922.9,942.5,904.2,4.31K,-0.39%
2014年1月15日,941.2,919.3,973.1,915.1,6.83K,2.39%
2014年1月16日,913.5,941.2,955.5,910.5,5.10K,-2.95%
2014年1月17日,894.2,913.5,929.8,867.2,10.31K,-2.12%
2014年1月18日,905.7,894.2,924.7,884.7,6.04K,1.29%
2014年1月19日,954.8,905.7,958.1,901.9,7.57K,5.42%
2014年1月20日,956,954.8,980.5,926,10.41K,0.12%
2014年1月21日,962.2,956,974.3,943.2,6.59K,0.65%
2014年1月22日,951,962.2,973.9,935,4.78K,-1.17%
2014年1月23日,944.2,951,958.1,936.3,1.97K,-0.71%
2014年1月24日,916.5,944.2,949.5,902.9,6.20K,-2.92%
2014年1月25日,961,916.5,978.4,915.9,8.18K,4.86%
2014年1月26日,"1,007.00",961,"1,038.10",950.7,13.07K,4.78%
2014年1月27日,943.5,"1,007.00","1,021.50",937.2,8.33K,-6.30%
2014年1月28日,932.7,943.5,972.6,911.7,10.41K,-1.15%
2014年1月29日,925.7,932.7,950.6,918.9,5.68K,-0.75%
2014年1月30日,941.4,925.7,953.2,909.5,5.43K,1.70%
2014年1月31日,938.8,941.4,954.7,924.6,4.31K,-0.27%
2014年2月1日,940.4,938.8,969.2,927.8,4.37K,0.17%
2014年2月2日,953.3,940.4,959.4,934.4,1.58K,1.37%
2014年2月3日,931.7,953.3,959.6,931.7,2.79K,-2.27%
2014年2月4日,926.6,931.7,949.1,900.8,4.61K,-0.54%
2014年2月5日,904.5,926.6,939.8,890,7.56K,-2.39%
2014年2月6日,828.9,904.5,908.8,800.9,18.60K,-8.36%
2014年2月7日,695.7,828.9,833.1,651.7,49.91K,-16.07%
2014年2月8日,648.8,695.7,719.3,632.1,22.88K,-6.74%
2014年2月9日,659.6,648.8,694.1,622.5,19.89K,1.66%
2014年2月10日,582.6,659.6,700,500,40.13K,-11.67%
2014年2月11日,579,582.6,609.7,550.2,16.73K,-0.63%
2014年2月12日,531.1,579,585.1,511.9,21.30K,-8.26%
2014年2月13日,451.4,531.1,549.2,451.3,28.94K,-15.00%
2014年2月14日,427.7,451.4,500,302.2,65.82K,-5.26%
2014年2月15日,371.1,427.7,447.9,310.1,50.62K,-13.24%
2014年2月16日,299.8,371.1,540,220.4,86.18K,-19.21%
2014年2月17日,272.3,299.8,411.2,263.4,51.44K,-9.18%
2014年2月18日,294,272.3,370.1,248.3,48.88K,7.96%
2014年2月19日,261.5,294,308.6,257.2,31.50K,-11.03%
2014年2月20日,111.9,261.5,271.6,109.2,102.18K,-57.21%
2014年2月21日,111.6,111.9,160.1,91.7,82.59K,-0.32%
2014年2月22日,255.6,111.6,290.6,96.7,72.17K,129.11%
2014年2月23日,310.2,255.6,349.1,220.3,38.55K,21.35%
2014年2月24日,174,310.2,316.9,131.9,95.12K,-43.90%
2014年2月25日,135.8,174,174.6,102.3,30.43K,-21.97%
2014年2月26日,593.1,135.8,650,522.8,0.60K,336.84%
2014年2月27日,596.5,593.1,629.9,580.5,0.50K,0.56%
2014年2月28日,573.9,596.5,599,570,0.51K,-3.78%
2014年3月1日,557.4,573.9,564.1,262.8,0.40K,-2.88%
2014年3月2日,544.6,557.4,562.9,541.5,0.83K,-2.30%
2014年3月3日,662.2,544.6,695.4,545.4,1.26K,21.60%
2014年3月4日,661.8,662.2,686.2,645.2,1.37K,-0.05%
2014年3月5日,658.3,661.8,666,636.8,1.26K,-0.54%
2014年3月6日,648.3,658.3,661.8,636.2,2.07K,-1.53%
2014年3月7日,616.7,648.3,655.2,600.3,2.34K,-4.86%
2014年3月8日,609.2,616.7,625.7,588.6,2.17K,-1.22%
2014年3月9日,627,609.2,637.6,598.5,1.95K,2.93%
2014年3月10日,613,627,633.7,594.7,2.63K,-2.25%
2014年3月11日,608.7,613,619.7,599.9,2.43K,-0.70%
2014年3月12日,619.4,608.7,640.8,608.2,3.20K,1.76%
2014年3月13日,625,619.4,636.1,616.1,3.41K,0.91%
2014年3月14日,614,625,631.2,610.6,4.00K,-1.76%
2014年3月15日,624,614,628.8,609.2,3.46K,1.63%
2014年3月16日,619.1,624,627.3,613.2,3.30K,-0.78%
2014年3月17日,606.4,619.1,622.5,602.7,3.58K,-2.06%
2014年3月18日,598.9,606.4,611.7,585.7,3.65K,-1.23%
2014年3月19日,595,598.9,607.1,590.1,3.58K,-0.66%
2014年3月20日,566,595,598.4,560.3,4.24K,-4.87%
2014年3月21日,549.6,566,587.4,540.2,3.82K,-2.90%
2014年3月22日,564.3,549.6,570,537.2,3.77K,2.68%
2014年3月23日,551.2,564.3,564.3,538.6,4.13K,-2.34%
2014年3月24日,567.6,551.2,572.5,531.3,3.67K,2.98%
2014年3月25日,562.9,567.6,569.7,550.4,3.87K,-0.82%
2014年3月26日,562.5,562.9,575.4,546.3,3.71K,-0.08%
2014年3月27日,460.5,562.5,567.8,460.5,3.78K,-18.13%
2014年3月28日,482.6,460.5,515,453.8,4.11K,4.81%
2014年3月29日,477.1,482.6,494.3,473.8,4.29K,-1.14%
2014年3月30日,446.9,477.1,479,424,3.86K,-6.33%
2014年3月31日,444.7,446.9,473.4,422.5,4.15K,-0.51%
2014年4月1日,463.5,444.7,487.4,438,3.97K,4.23%
2014年4月2日,424.4,463.5,480.3,409.3,4.38K,-8.43%
2014年4月3日,436.3,424.4,448.7,386.7,4.02K,2.81%
2014年4月4日,444.4,436.3,456.5,415.5,2.57K,1.85%
2014年4月5日,456.6,444.4,461.2,439.4,1.16K,2.76%
2014年4月6日,455.7,456.6,472.4,446.3,3.59K,-0.21%
2014年4月7日,462.4,455.7,485.1,448,3.95K,1.47%
2014年4月8日,466.6,462.4,480.7,457.6,3.91K,0.90%
2014年4月9日,457.3,466.6,479.7,451.1,3.88K,-1.98%
2014年4月10日,384.6,457.3,463.5,384.6,3.65K,-15.90%
2014年4月11日,435.1,384.6,450.4,355.7,5.16K,13.13%
2014年4月12日,437.6,435.1,469.8,428,5.19K,0.58%
2014年4月13日,427.6,437.6,454.1,409.9,4.97K,-2.30%
2014年4月14日,478.4,427.6,497.8,420.1,7.62K,11.88%
2014年4月15日,526.4,478.4,526.6,466.4,8.00K,10.04%
2014年4月16日,537,526.4,549,496.1,8.06K,2.00%
2014年4月17日,502,537,537,486.9,8.00K,-6.51%
2014年4月18日,485.5,502,512.2,472,8.36K,-3.28%
2014年4月19日,506,485.5,516.9,473.2,8.38K,4.22%
2014年4月20日,498.5,506,522.2,488.7,7.69K,-1.48%
2014年4月21日,495.2,498.5,524.7,490.7,7.35K,-0.67%
2014年4月22日,487.9,495.2,520.5,483.4,5.68K,-1.46%
2014年4月23日,487.3,487.9,510,482.3,4.74K,-0.13%
2014年4月24日,500.3,487.3,507.3,477.2,4.23K,2.67%
2014年4月25日,464.5,500.3,502.5,438.3,6.45K,-7.16%
2014年4月26日,457.9,464.5,468.7,448.6,6.89K,-1.43%
2014年4月27日,443.2,457.9,461.4,437.4,6.96K,-3.21%
2014年4月28日,441.9,443.2,451.1,420.8,4.54K,-0.28%
2014年4月29日,446.1,441.9,453.8,430.7,3.72K,0.95%
2014年4月30日,445.6,446.1,452.6,430.9,4.08K,-0.11%
2014年5月1日,460.1,445.6,464.5,444.5,4.20K,3.25%
2014年5月2日,453.7,460.1,463.4,442,3.38K,-1.40%
2014年5月3日,438.6,453.7,454.2,429.1,2.58K,-3.31%
2014年5月4日,436,438.6,446.6,428.8,3.37K,-0.59%
2014年5月5日,430.9,436,443.9,426.4,3.04K,-1.19%
2014年5月6日,432.2,430.9,435,420.2,4.19K,0.31%
2014年5月7日,446.5,432.2,458.8,423.5,5.03K,3.32%
2014年5月8日,441.1,446.5,455.5,439.5,2.54K,-1.22%
2014年5月9日,445.5,441.1,455.8,438.5,2.27K,0.98%
2014年5月10日,451.9,445.5,459.5,441.4,0.45K,1.45%
2014年5月11日,433.2,451.9,455.4,429,1.89K,-4.13%
2014年5月12日,438.2,433.2,441.1,430.2,1.39K,1.15%
2014年5月13日,433.9,438.2,442.3,432.7,2.65K,-0.98%
2014年5月14日,442.6,433.9,444.3,433.9,2.20K,2.01%
2014年5月15日,448.1,442.6,450,441.5,2.17K,1.24%
2014年5月16日,453.6,448.1,455.1,441.9,1.76K,1.23%
2014年5月17日,452.8,453.6,455.9,452.2,1.71K,-0.19%
